[*] '/workspaces/NYCU-UP-2025-Spring/lab3/sample/gotoku.local'
    Arch:     amd64-64-little
    RELRO:    Full RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
    RUNPATH:  b'.'
main = 0x16c89
Func         GOT Offset Symbol Offset
gop_1        1bcd8      12590     
gop_2        1cf38      14a50     
gop_3        1bc68      124b0     
gop_4        1cf60      14aa0     
gop_5        1be30      12840     
gop_6        1d0d8      14d90     
gop_7        1be00      127e0     
gop_8        1cbc8      14370     
gop_9        1dee8      169b0     
gop_10       1d220      15020     
gop_11       1bf50      12a80     
gop_12       1d258      15090     
gop_13       1bf88      12af0     
gop_14       1d290      15100     
gop_15       1c240      13060     
gop_16       1d500      155e0     
gop_17       1c2c0      13160     
gop_18       1d598      15710     
gop_19       1c2b0      13140     
gop_20       1ba70      120c0     
gop_21       1cd70      146c0     
gop_22       1baa0      12120     
gop_23       1cda0      14720     
gop_24       1bad0      12180     
gop_25       1cdc0      14760     
gop_26       1bd40      12660     
gop_27       1d038      14c50     
gop_28       1bdb8      12750     
gop_29       1d0c0      14d60     
gop_30       1dbb8      16350     
gop_31       1c900      13de0     
gop_32       1dc10      16400     
gop_33       1c910      13e00     
gop_34       1dc38      16450     
gop_35       1c968      13eb0     
gop_36       1dc78      164d0     
gop_37       1cb70      142c0     
gop_38       1de60      168a0     
gop_39       1cc10      14400     
gop_40       1c3d8      13390     
gop_41       1d6a0      15920     
gop_42       1c3e8      133b0     
gop_43       1d700      159e0     
gop_44       1c408      133f0     
gop_45       1d718      15a10     
gop_46       1c438      13450     
gop_47       1d748      15a70     
gop_48       1c6e0      139a0     
gop_49       1d9e8      15fb0     
gop_50       1c3e0      133a0     
gop_51       1d6e0      159a0     
gop_52       1c428      13430     
gop_53       1d728      15a30     
gop_54       1c3a0      13320     
gop_55       1d680      158e0     
gop_56       1c3b0      13340     
gop_57       1d698      15910     
gop_58       1c450      13480     
gop_59       1d770      15ac0     
gop_60       1d1f8      14fd0     
gop_61       1bf58      12a90     
gop_62       1d260      150a0     
gop_63       1bee8      129b0     
gop_64       1d190      14f00     
gop_65       1bf08      129f0     
gop_66       1d1a8      14f30     
gop_67       1bf90      12b00     
gop_68       1d298      15110     
gop_69       1bf20      12a20     
gop_70       1cda8      14730     
gop_71       1ba78      120d0     
gop_72       1cd00      145e0     
gop_73       1ba30      12040     
gop_74       1cd28      14630     
gop_75       1ba40      12060     
gop_76       1cdc8      14770     
gop_77       1bb08      121f0     
gop_78       1cd78      146d0     
gop_79       1ba68      120b0     
gop_80       1dc40      16460     
gop_81       1c8d0      13d80     
gop_82       1db80      162e0     
gop_83       1c8e8      13db0     
gop_84       1dba0      16320     
gop_85       1c978      13ed0     
gop_86       1dc88      164f0     
gop_87       1c908      13df0     
gop_88       1dc08      163f0     
gop_89       1c7d8      13b90     
gop_90       1d678      158d0     
gop_91       1c3a8      13330     
gop_92       1d690      15900     
gop_93       1c448      13470     
gop_94       1d768      15ab0     
gop_95       1c3f0      133c0     
gop_96       1d6c0      15960     
gop_97       1c308      131f0     
gop_98       1d5c8      15770     
gop_99       1c440      13460     
gop_100      1da60      160a0     
gop_101      1c700      139e0     
gop_102      1d9e0      15fa0     
gop_103      1c898      13d10     
gop_104      1db30      16240     
gop_105      1c808      13bf0     
gop_106      1db68      162b0     
gop_107      1c8d8      13d90     
gop_108      1db78      162d0     
gop_109      1c8e0      13da0     
gop_110      1dea0      16920     
gop_111      1cb68      142b0     
gop_112      1dea8      16930     
gop_113      1cb80      142e0     
gop_114      1de58      16890     
gop_115      1ccd8      14590     
gop_116      1df90      16b00     
gop_117      1cc70      144c0     
gop_118      1dfb8      16b50     
gop_119      1ccf8      145d0     
gop_120      1d088      14cf0     
gop_121      1bd68      126b0     
gop_122      1d048      14c70     
gop_123      1bd80      126e0     
gop_124      1d068      14cb0     
gop_125      1bd30      12640     
gop_126      1d178      14ed0     
gop_127      1be90      12900     
gop_128      1d128      14e30     
gop_129      1bea8      12930     
gop_130      1d528      15630     
gop_131      1c280      130e0     
gop_132      1d540      15660     
gop_133      1c238      13050     
gop_134      1d550      15680     
gop_135      1c248      13070     
gop_136      1d4f8      155d0     
gop_137      1c370      132c0     
gop_138      1d638      15850     
gop_139      1c328      13230     
gop_140      1c878      13cd0     
gop_141      1da18      16010     
gop_142      1c728      13a30     
gop_143      1da30      16040     
gop_144      1c6d8      13990     
gop_145      1da58      16090     
gop_146      1c6f8      139d0     
gop_147      1d9d8      15f90     
gop_148      1c890      13d00     
gop_149      1db28      16230     
gop_150      1c7c8      13b70     
gop_151      1db70      162c0     
gop_152      1c8b0      13d40     
gop_153      1db48      16270     
gop_154      1c850      13c80     
gop_155      1db58      16290     
gop_156      1c830      13c40     
gop_157      1db08      161f0     
gop_158      1c938      13e50     
gop_159      1dc58      16490     
gop_160      1dfd0      16b80     
gop_161      1cce0      145a0     
gop_162      1dfa8      16b30     
gop_163      1cca0      14520     
gop_164      1dfc0      16b60     
gop_165      1cc88      144f0     
gop_166      1df80      16ae0     
gop_167      1cdb0      14740     
gop_168      1baa8      12130     
gop_169      1cc78      144d0     
gop_170      1bed8      12990     
gop_171      1d160      14ea0     
gop_172      1be88      128f0     
gop_173      1d170      14ec0     
